servicio;comuna;estrato;suscriptores;cobertura;periodo;
Acueducto;5;3;24647;99.64%;31/12/2017;
Alcantarillado;5;3;24576;99.36%;31/12/2017;
Aseo;5;3;24487;99.00%;31/12/2017;
Acueducto;5;4;550;99.28%;31/12/2017;
Alcantarillado;5;4;549;99.10%;31/12/2017;
Aseo;5;4;520;93.86%;31/12/2017;
Acueducto;6;1;5671;98.37%;31/12/2017;
Alcantarillado;6;1;5656;98.11%;31/12/2017;
Aseo;6;1;5620;97.48%;31/12/2017;
Acueducto;6;2;20795;99.41%;31/12/2017;
Alcantarillado;6;2;20548;98.23%;31/12/2017;
Aseo;6;2;20609;98.52%;31/12/2017;
Acueducto;6;3;11072;99.64%;31/12/2017;
Alcantarillado;6;3;10979;98.80%;31/12/2017;
Aseo;6;3;10941;98.46%;31/12/2017;
Acueducto;6;4;4;50.00%;31/12/2017;
Alcantarillado;6;4;4;50.00%;31/12/2017;
Aseo;6;4;8;100.00%;31/12/2017;
Acueducto;6;5;1;100.00%;31/12/2017;
Alcantarillado;6;5;1;100.00%;31/12/2017;
Aseo;6;5;0;0.00%;31/12/2017;
Acueducto;7;1;3755;89.73%;31/12/2017;
Alcantarillado;7;1;3534;84.44%;31/12/2017;
Aseo;7;1;3449;82.41%;31/12/2017;
Acueducto;7;2;18864;97.36%;31/12/2017;
Alcantarillado;7;2;18615;96.08%;31/12/2017;
Aseo;7;2;18563;95.81%;31/12/2017;
Acueducto;7;3;17910;99.11%;31/12/2017;
Alcantarillado;7;3;17945;99.31%;31/12/2017;
Aseo;7;3;17619;97.50%;31/12/2017;
Acueducto;7;4;5662;87.32%;31/12/2017;
Alcantarillado;7;4;6476;99.88%;31/12/2017;
Aseo;7;4;6403;98.75%;31/12/2017;
Acueducto;7;5;1640;93.13%;31/12/2017;
Alcantarillado;7;5;1760;99.94%;31/12/2017;
Aseo;7;5;1695;96.25%;31/12/2017;
Acueducto;7;6;7;87.50%;31/12/2017;
Alcantarillado;7;6;7;87.50%;31/12/2017;
Aseo;7;6;7;87.50%;31/12/2017;
Acueducto;8;1;9484;90.32%;31/12/2017;
Alcantarillado;8;1;9173;87.36%;31/12/2017;
Aseo;8;1;9078;86.46%;31/12/2017;
Acueducto;8;2;12819;98.15%;31/12/2017;
Alcantarillado;8;2;12331;94.42%;31/12/2017;
Aseo;8;2;12631;96.72%;31/12/2017;
Acueducto;8;3;10751;99.44%;31/12/2017;
Alcantarillado;8;3;10607;98.10%;31/12/2017;
Aseo;8;3;10663;98.62%;31/12/2017;
Acueducto;8;4;1329;99.40%;31/12/2017;
Alcantarillado;8;4;1322;98.88%;31/12/2017;
Aseo;8;4;1305;97.61%;31/12/2017;
Acueducto;9;1;1258;92.43%;31/12/2017;
Alcantarillado;9;1;1283;94.27%;31/12/2017;
Aseo;9;1;1214;89.20%;31/12/2017;
Acueducto;9;2;7855;98.50%;31/12/2017;
Alcantarillado;9;2;7876;98.76%;31/12/2017;
Aseo;9;2;7710;96.68%;31/12/2017;
Acueducto;9;3;26378;99.07%;31/12/2017;
Alcantarillado;9;3;26370;99.04%;31/12/2017;
Aseo;9;3;26158;98.25%;31/12/2017;
Acueducto;9;4;5797;99.84%;31/12/2017;
Alcantarillado;9;4;5786;99.66%;31/12/2017;
Aseo;9;4;5717;98.47%;31/12/2017;
Acueducto;9;5;542;99.82%;31/12/2017;
Alcantarillado;9;5;541;99.63%;31/12/2017;
Aseo;9;5;532;97.97%;31/12/2017;
Acueducto;9;6;318;99.69%;31/12/2017;
Alcantarillado;9;6;317;99.37%;31/12/2017;
Aseo;9;6;309;96.87%;31/12/2017;
Acueducto;10;1;2;100.00%;31/12/2017;
Alcantarillado;10;1;2;100.00%;31/12/2017;
Aseo;10;1;2;100.00%;31/12/2017;
Acueducto;10;2;1618;98.24%;31/12/2017;
Alcantarillado;10;2;1632;99.09%;31/12/2017;
Aseo;10;2;1608;97.63%;31/12/2017;
Acueducto;10;3;10206;99.78%;31/12/2017;
Alcantarillado;10;3;10122;98.95%;31/12/2017;
Aseo;10;3;10061;98.36%;31/12/2017;
Acueducto;10;4;18564;97.60%;31/12/2017;
Alcantarillado;10;4;18539;97.47%;31/12/2017;
Aseo;10;4;18015;94.72%;31/12/2017;
Acueducto;10;5;1456;100.00%;31/12/2017;
Alcantarillado;10;5;1456;100.00%;31/12/2017;
Aseo;10;5;1448;99.45%;31/12/2017;
Acueducto;10;6;1;100.00%;31/12/2017;
Alcantarillado;10;6;1;100.00%;31/12/2017;
Aseo;10;6;0;0.00%;31/12/2017;
Acueducto;11;1;2;100.00%;31/12/2017;
Alcantarillado;11;1;2;100.00%;31/12/2017;
Aseo;11;1;2;100.00%;31/12/2017;
Acueducto;11;2;187;96.89%;31/12/2017;
Alcantarillado;11;2;192;99.48%;31/12/2017;
Aseo;11;2;191;98.96%;31/12/2017;
Acueducto;11;3;347;99.71%;31/12/2017;
Alcantarillado;11;3;344;98.85%;31/12/2017;
Aseo;11;3;343;98.56%;31/12/2017;
Acueducto;11;4;13941;99.62%;31/12/2017;
Alcantarillado;11;4;13893;99.28%;31/12/2017;
Aseo;11;4;13400;95.76%;31/12/2017;
Acueducto;11;5;28664;99.72%;31/12/2017;
Alcantarillado;11;5;28639;99.63%;31/12/2017;
Aseo;11;5;27192;94.60%;31/12/2017;
Acueducto;11;6;199;94.31%;31/12/2017;
Alcantarillado;11;6;183;86.73%;31/12/2017;
Aseo;11;6;190;90.05%;31/12/2017;
Acueducto;12;1;54;98.18%;31/12/2017;
Alcantarillado;12;1;55;100.00%;31/12/2017;
Aseo;12;1;53;96.36%;31/12/2017;
Acueducto;12;2;444;98.23%;31/12/2017;
Alcantarillado;12;2;444;98.23%;31/12/2017;
Aseo;12;2;448;99.12%;31/12/2017;
Acueducto;12;3;8402;99.90%;31/12/2017;
Alcantarillado;12;3;8388;99.74%;31/12/2017;
Aseo;12;3;8256;98.17%;31/12/2017;
Acueducto;12;4;16162;99.76%;31/12/2017;
Alcantarillado;12;4;16168;99.80%;31/12/2017;
Aseo;12;4;15771;97.35%;31/12/2017;
Acueducto;12;5;10095;99.81%;31/12/2017;
Alcantarillado;12;5;10064;99.51%;31/12/2017;
Aseo;12;5;9713;96.04%;31/12/2017;
Acueducto;12;6;45;60.00%;31/12/2017;
Alcantarillado;12;6;45;60.00%;31/12/2017;
Aseo;12;6;44;58.67%;31/12/2017;
Acueducto;13;1;10485;95.21%;31/12/2017;
Alcantarillado;13;1;10380;94.26%;31/12/2017;
Aseo;13;1;10374;94.21%;31/12/2017;
Acueducto;13;2;13462;98.93%;31/12/2017;
Alcantarillado;13;2;13339;98.02%;31/12/2017;
Aseo;13;2;13341;98.04%;31/12/2017;
Acueducto;13;3;11313;99.71%;31/12/2017;
Alcantarillado;13;3;11229;98.97%;31/12/2017;
Aseo;13;3;11111;97.93%;31/12/2017;
Acueducto;13;4;3233;99.75%;31/12/2017;
Alcantarillado;13;4;3233;99.75%;31/12/2017;
Aseo;13;4;3200;98.73%;31/12/2017;
Acueducto;13;5;1;100.00%;31/12/2017;
Alcantarillado;13;5;1;100.00%;31/12/2017;
Aseo;13;5;1;100.00%;31/12/2017;
Acueducto;14;1;6;85.71%;31/12/2017;
Alcantarillado;14;1;5;71.43%;31/12/2017;
Aseo;14;1;6;85.71%;31/12/2017;
Acueducto;14;2;384;96.48%;31/12/2017;
Alcantarillado;14;2;390;97.99%;31/12/2017;
Aseo;14;2;387;97.24%;31/12/2017;
Acueducto;14;3;482;96.98%;31/12/2017;
Alcantarillado;14;3;481;96.78%;31/12/2017;
Aseo;14;3;480;96.58%;31/12/2017;
Acueducto;14;4;1998;83.01%;31/12/2017;
Alcantarillado;14;4;1985;82.47%;31/12/2017;
Aseo;14;4;2176;90.40%;31/12/2017;
Acueducto;14;5;9497;98.58%;31/12/2017;
Alcantarillado;14;5;9432;97.90%;31/12/2017;
Aseo;14;5;9223;95.73%;31/12/2017;
Acueducto;14;6;37471;98.93%;31/12/2017;
Alcantarillado;14;6;37572;99.19%;31/12/2017;
Aseo;14;6;36006;95.06%;31/12/2017;
Acueducto;15;1;74;98.67%;31/12/2017;
Alcantarillado;15;1;72;96.00%;31/12/2017;
Aseo;15;1;60;80.00%;31/12/2017;
Acueducto;15;2;2318;99.19%;31/12/2017;
Alcantarillado;15;2;2323;99.40%;31/12/2017;
Aseo;15;2;2308;98.76%;31/12/2017;
Acueducto;15;3;9538;99.70%;31/12/2017;
Alcantarillado;15;3;9542;99.74%;31/12/2017;
Aseo;15;3;9460;98.88%;31/12/2017;
Acueducto;15;4;5263;99.45%;31/12/2017;
Alcantarillado;15;4;5281;99.79%;31/12/2017;
Aseo;15;4;5253;99.26%;31/12/2017;
Acueducto;15;5;2;100.00%;31/12/2017;
Alcantarillado;15;5;2;100.00%;31/12/2017;
Aseo;15;5;2;100.00%;31/12/2017;
Acueducto;16;1;651;97.75%;31/12/2017;
Alcantarillado;16;1;640;96.10%;31/12/2017;
Aseo;16;1;637;95.65%;31/12/2017;
Acueducto;16;2;7507;98.62%;31/12/2017;
Alcantarillado;16;2;7550;99.19%;31/12/2017;
Aseo;16;2;7462;98.03%;31/12/2017;
Acueducto;16;3;24179;99.74%;31/12/2017;
Alcantarillado;16;3;24152;99.63%;31/12/2017;
Aseo;16;3;23636;97.50%;31/12/2017;
Acueducto;16;4;18577;98.11%;31/12/2017;
Alcantarillado;16;4;18553;97.99%;31/12/2017;
Aseo;16;4;18302;96.66%;31/12/2017;
Acueducto;16;5;16234;99.94%;31/12/2017;
Alcantarillado;16;5;16203;99.75%;31/12/2017;
Aseo;16;5;15681;96.53%;31/12/2017;
Acueducto;16;6;63;100.00%;31/12/2017;
Alcantarillado;16;6;63;100.00%;31/12/2017;
Aseo;16;6;58;92.06%;31/12/2017;
Acueducto;50;1;99;87.61%;31/12/2017;
Alcantarillado;50;1;1;0.88%;31/12/2017;
Aseo;50;1;0;0.00%;31/12/2017;
Acueducto;50;2;129;22.13%;31/12/2017;
Alcantarillado;50;2;88;15.09%;31/12/2017;
Aseo;50;2;12;2.06%;31/12/2017;
Acueducto;50;3;36;31.58%;31/12/2017;
Alcantarillado;50;3;41;35.96%;31/12/2017;
Aseo;50;3;27;23.68%;31/12/2017;
Acueducto;50;4;1;25.00%;31/12/2017;
Alcantarillado;50;4;2;50.00%;31/12/2017;
Aseo;50;4;0;0.00%;31/12/2017;
Acueducto;60;1;4359;95.78%;31/12/2017;
Alcantarillado;60;1;4210;92.51%;31/12/2017;
Aseo;60;1;3873;85.10%;31/12/2017;
Acueducto;60;2;12706;99.29%;31/12/2017;
Alcantarillado;60;2;10761;84.09%;31/12/2017;
Aseo;60;2;10135;79.20%;31/12/2017;
Acueducto;60;3;7049;98.89%;31/12/2017;
Alcantarillado;60;3;6827;95.78%;31/12/2017;
Aseo;60;3;6487;91.01%;31/12/2017;
Acueducto;60;4;1273;99.22%;31/12/2017;
Alcantarillado;60;4;1255;97.82%;31/12/2017;
Aseo;60;4;1227;95.64%;31/12/2017;
Acueducto;60;5;11;91.67%;31/12/2017;
Alcantarillado;60;5;9;75.00%;31/12/2017;
Aseo;60;5;8;66.67%;31/12/2017;
Acueducto;60;6;3;100.00%;31/12/2017;
Alcantarillado;60;6;1;33.33%;31/12/2017;
Aseo;60;6;0;0.00%;31/12/2017;
Acueducto;70;1;699;94.33%;31/12/2017;
Alcantarillado;70;1;237;31.98%;31/12/2017;
Aseo;70;1;198;26.72%;31/12/2017;
Acueducto;70;2;4708;97.29%;31/12/2017;
Alcantarillado;70;2;3489;72.10%;31/12/2017;
Aseo;70;2;3156;65.22%;31/12/2017;
Acueducto;70;3;694;81.17%;31/12/2017;
Alcantarillado;70;3;751;87.84%;31/12/2017;
Aseo;70;3;720;84.21%;31/12/2017;
Acueducto;70;4;898;96.77%;31/12/2017;
Alcantarillado;70;4;906;97.63%;31/12/2017;
Aseo;70;4;830;89.44%;31/12/2017;
Acueducto;70;5;2095;99.95%;31/12/2017;
Alcantarillado;70;5;2085;99.48%;31/12/2017;
Aseo;70;5;1952;93.13%;31/12/2017;
Acueducto;80;1;323;100.00%;31/12/2017;
Alcantarillado;80;1;292;90.40%;31/12/2017;
Aseo;80;1;304;94.12%;31/12/2017;
Acueducto;80;2;13670;100.00%;31/12/2017;
Alcantarillado;80;2;12729;93.12%;31/12/2017;
Aseo;80;2;12722;93.07%;31/12/2017;
Acueducto;80;3;15800;99.96%;31/12/2017;
Alcantarillado;80;3;15495;98.03%;31/12/2017;
Aseo;80;3;14766;93.41%;31/12/2017;
Acueducto;80;4;199;100.00%;31/12/2017;
Alcantarillado;80;4;170;85.43%;31/12/2017;
Aseo;80;4;158;79.40%;31/12/2017;
Acueducto;80;5;33;97.06%;31/12/2017;
Alcantarillado;80;5;30;88.24%;31/12/2017;
Aseo;80;5;30;88.24%;31/12/2017;
Acueducto;90;1;1350;65.06%;31/12/2017;
Alcantarillado;90;1;429;20.67%;31/12/2017;
Aseo;90;1;360;17.35%;31/12/2017;
Acueducto;90;2;1622;40.99%;31/12/2017;
Alcantarillado;90;2;93;2.35%;31/12/2017;
Aseo;90;2;146;3.69%;31/12/2017;
Acueducto;90;3;428;34.35%;31/12/2017;
Alcantarillado;90;3;4;0.32%;31/12/2017;
Aseo;90;3;4;0.32%;31/12/2017;
Acueducto;90;4;100;44.44%;31/12/2017;
Alcantarillado;90;4;5;2.22%;31/12/2017;
Aseo;90;4;20;8.89%;31/12/2017;
Acueducto;90;5;54;51.43%;31/12/2017;
Alcantarillado;90;5;54;51.43%;31/12/2017;
Aseo;90;5;28;26.67%;31/12/2017;
Acueducto;90;6;95;25.54%;31/12/2017;
Alcantarillado;90;6;154;41.40%;31/12/2017;
Aseo;90;6;86;23.12%;31/12/2017;
